"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"R17","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","51.152mm","50.25mm","51.152mm","50.25mm","50.5545mm","50.25mm","B","0","4.7K",
"R27","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","78.0mm","5.5mm","78.0mm","5.5mm","78.5975mm","5.5mm","B","180","0R",
"R28","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","77.5mm","3.5975mm","77.5mm","3.5975mm","77.5mm","4.195mm","B","270","0R",
"U3","M-HL10","62.5mm","9.0mm","62.5mm","9.0mm","75.2mm","14.08mm","B","180","M-HL10",
"U6","SOT-23-6","31.5mm","22.5mm","31.5mm","22.5mm","32.45mm","21.4mm","B","90","SRV05-4",
"Through Hole Items ",
"J1","PinSocket_1x04_P2.54mm_Vertical","83.5mm","11.75mm","83.5mm","11.75mm","83.5mm","11.75mm","T","0","Conn_01x04_Female",
"J2","PinSocket_1x03_P2.54mm_Vertical","44.5mm","36.25mm","44.5mm","36.25mm","44.5mm","36.25mm","T","0","Conn_01x03_Female",
"J3","PinSocket_1x06_P2.54mm_Vertical","40.13mm","52.25mm","40.13mm","52.25mm","40.13mm","52.25mm","T","90","Conn_01x06_Female",
"J4","USB_C_Receptacle_XKB_U262-16XN-4BVC11","4.0mm","45.5mm","4.0mm","45.5mm","7.67mm","42.15mm","T","270","USB_C_Receptacle_USB2.0",
"J5","PinSocket_1x03_P2.54mm_Vertical","26.46mm","42.0mm","26.46mm","42.0mm","26.46mm","42.0mm","T","90","Conn_01x03_Female",
"J6","PinSocket_1x03_P2.54mm_Vertical","44.5mm","27.5mm","44.5mm","27.5mm","44.5mm","27.5mm","T","0","Conn_01x03_Female",
"J7","PinSocket_2x02_P2.54mm_Vertical","43.5mm","1.5mm","43.5mm","1.5mm","43.5mm","1.5mm","T","180","Conn_02x02_Odd_Even",
"RJ1","RJ45-TH_HR913129A","10.0mm","30.5mm","10.0mm","30.5mm","14.354805mm","34.945mm","T","90","HR913129A",
"RJ2","RJ45-TH_HR913129A","10.0mm","12.0mm","10.0mm","12.0mm","14.354805mm","16.445mm","T","90","HR913129A",
